[1208/045601.860:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1209/055648.116:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1210/194121.734:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.734:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.734:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.734:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.734:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.934:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.934:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.934:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.934:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.942:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.942:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.942:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194121.942:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194424.470:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194424.470:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194424.470:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194424.470:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194424.470:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194424.470:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194424.470:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194424.470:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194450.196:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194450.204:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194450.204:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194450.204:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194450.204:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194450.204:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194450.204:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194450.204:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194451.640:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
